Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Shanghai Tower,Shanghai,2015,632,2073,128,Concrete-Steel Composite,Hotel / Office
Ping An Finance Center,Shenzhen,2017,599,1965,115,Concrete-Steel Composite,Office
Guangzhou CTF Finance Centre,Guangzhou,2016,530,1739,111,Composite,Hotel / Residential / Office
Tianjin CTF Finance Centre,Tianjin,2019,530,1739,97,Concrete-Steel Composite,Hotel / Serviced Apartments / Office
CITIC Tower,Beijing,2018,528,1731,109,Concrete-Steel Composite,Office
TAIPEI 101,Taipei,2004,508,1667,101,Composite,Office
Shanghai World Financial Center,Shanghai,2008,492,1614,101,Concrete-Steel Composite,Hotel / Office
International Commerce Centre,Hong Kong,2010,484,1588,108,Concrete-Steel Composite,Hotel / Office
Wuhan Greenland Center,Wuhan,2023,476,1560,101,Concrete-Steel Composite,Hotel / Serviced Apartments / Office
Changsha IFS Tower T1,Changsha,2018,452,1483,94,Concrete-Steel Composite,Hotel / Office
Suzhou IFS,Suzhou,2019,450,1476,95,Concrete-Steel Composite,Hotel / Office / Serviced Apartments
Zifeng Tower,Nanjing,2010,450,1476,66,Concrete-Steel Composite,Hotel / Office
Wuhan Tower,Wuhan,2019,443,1454,88,Concrete-Steel Composite,Hotel / Residential / Office
KK100,Shenzhen,2011,442,1449,98,Concrete-Steel Composite,Hotel / Office
Guangzhou International Finance Center,Guangzhou,2010,439,1439,101,Concrete-Steel Composite,Hotel / Office
Minying International Trade Center T2,Dongguan,2021,423,1386,85,Concrete-Steel Composite,Office
Jin Mao Tower,Shanghai,1999,421,1380,88,Concrete-Steel Composite,Hotel / Office
Two International Finance Centre,Hong Kong,2003,412,1352,88,Concrete-Steel Composite,Office
Ningbo Center Tower 1,Ningbo,2025,409,1342,80,Concrete-Steel Composite,Hotel / Residential / Office
Guangxi China Resources Tower,Nanning,2020,403,1321,86,Concrete-Steel Composite,Hotel / Office
Guiyang International Financial Center T1,Guiyang,2020,401,1316,79,Concrete-Steel Composite,Hotel / Office
China Resources Tower,Shenzhen,2018,393,1288,68,Concrete-Steel Composite,Office
CITIC Plaza,Guangzhou,1996,390,1280,80,Concrete-Steel Composite,Office
CITYMARK CENTRE,Shenzhen,2022,388,1274,70,Concrete-Steel Composite,Residential / Office
Shum Yip Upperhills Tower 1,Shenzhen,2020,388,1273,80,Concrete-Steel Composite,Hotel / Office
Shun Hing Square,Shenzhen,1996,384,1260,69,Concrete-Steel Composite,Office
Eton Place Dalian Tower 1,Dalian,2016,383,1257,80,Concrete-Steel Composite,Hotel / Office
Nanning Logan Century 1,Nanning,2018,381,1251,82,Concrete-Steel Composite,Hotel / Office
1 Corporate Avenue,Wuhan,2021,376,1234,73,Concrete-Steel Composite,Office
Dabaihui Plaza,Shenzhen,2021,376,1232,70,Concrete-Steel Composite,Serviced Apartments / Office
Central Plaza,Hong Kong,1992,374,1227,78,All-Concrete,Office
Dalian International Trade Center,Dalian,2019,370,1214,86,Concrete-Steel Composite,Residential / Office
Qingdao Hai Tian Center,Qingdao,2021,369,1210,73,Concrete-Steel Composite,Hotel / Office
Golden Eagle Tiandi Tower A,Nanjing,2019,368,1208,77,Concrete-Steel Composite,Hotel / Office
Bank of China Tower,Hong Kong,1990,367,1205,72,Concrete-Steel Composite,Office
Ping An Finance Center,Jinan,2024,360,1181,63,Concrete-Steel Composite,Hotel / Office
Huiyun Center,Shenzhen,2023,359,1178,80,Concrete-Steel Composite,Hotel / Office
Hanking Center,Shenzhen,2018,359,1177,65,Concrete-Steel Composite,Office
Galaxy World Tower 1,Shenzhen,2023,356,1168,71,Concrete-Steel Composite,Office
Galaxy World Tower 2,Shenzhen,2023,356,1168,71,Concrete-Steel Composite,Office
Raffles City Chongqing T3N,Chongqing,2019,354,1163,79,Concrete-Steel Composite,Residential / Retail
Raffles City Chongqing T4N,Chongqing,2019,354,1163,74,Concrete-Steel Composite,Hotel / Office / Retail
Forum 66 Tower 1,Shenyang,2015,351,1150,68,Concrete-Steel Composite,Hotel / Office
The Pinnacle,Guangzhou,2012,350,1149,60,All-Concrete,Office
Glory・Xi’an International Financial Center,Xi’an,2022,350,1148,75,Concrete-Steel Composite,Office
Spring City 66,Kunming,2019,349,1145,61,Concrete-Steel Composite,Office
85 Sky Tower,Kaohsiung,1997,348,1140,85,All-Steel,Hotel / Office / Retail
The Center,Hong Kong,1998,346,1135,73,All-Steel,Office
Shimao Global Financial Center,Changsha,2019,343,1125,74,Concrete-Steel Composite,Office
One Shenzhen Bay Tower 7,Shenzhen,2018,341,1120,71,Concrete-Steel Composite,Residential / Hotel / Office
Hilton Wenzhou City Center,Wenzhou,2024,339,1112,71,Concrete-Steel Composite,Hotel
YunDing Tower,Jinan,2020,339,1112,69,All-Concrete,Office / Hotel
Wuxi International Finance Square,Wuxi,2014,339,1112,68,Concrete-Steel Composite,Office
Chongqing World Financial Center,Chongqing,2015,339,1112,72,Concrete-Steel Composite,Hotel / Office
Suning Plaza Tower 1,Zhenjiang,2018,338,1109,75,Concrete-Steel Composite,Hotel / Serviced Apartments / SOHO / Office
Tianjin Modern City Office Tower,Tianjin,2016,338,1109,72,Concrete-Steel Composite,Office
Hengqin International Finance Center,Zhuhai,2020,338,1108,69,Concrete-Steel Composite,Residential / Office
Tianjin World Financial Center,Tianjin,2011,337,1105,75,Concrete-Steel Composite,Office
"Twin Towers Guiyang, East Tower",Guiyang,2020,335,1099,74,Concrete-Steel Composite,Office
"Twin Towers Guiyang, West Tower",Guiyang,2020,335,1099,74,Concrete-Steel Composite,Hotel / Office
Shimao International Plaza,Shanghai,2006,333,1094,60,All-Concrete,Hotel / Office / Retail
Shenzhen Urban Construction & Tower,Shenzhen,2024,333,1093,72,Concrete-Steel Composite,Office
Minsheng Bank Building,Wuhan,2008,331,1086,68,All-Steel,Office
China World Tower,Beijing,2010,330,1083,74,Concrete-Steel Composite,Hotel / Office
