Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Burj Khalifa,Dubai,2010,828,2717,163,Steel Over Concrete,Office / Residential / Hotel
Marina 101,Dubai,2017,425,1394,101,All-Concrete,Residential / Hotel
Princess Tower,Dubai,2012,413,1356,101,Steel Over Concrete,Residential
23 Marina,Dubai,2012,392,1287,88,All-Concrete,Residential
Burj Mohammed Bin Rashid,Abu Dhabi,2014,381,1251,88,All-Concrete,Residential
Elite Residence,Dubai,2012,380,1248,87,All-Concrete,Residential
The Address Boulevard,Dubai,2017,370,1214,73,All-Concrete,Residential / Hotel / Retail
Ciel Tower,Dubai,2024,364,1194,81,All-Concrete,Hotel
Almas Tower,Dubai,2008,360,1181,68,All-Concrete,Office
Gevora Hotel,Dubai,2017,356,1169,75,Steel Over Concrete,Hotel
Il Primo Tower,Dubai,2023,356,1168,79,All-Concrete,Residential
JW Marriott Marquis Hotel Dubai Tower 1,Dubai,2012,355,1166,82,All-Concrete,Hotel
JW Marriott Marquis Hotel Dubai Tower 2,Dubai,2013,355,1166,82,All-Concrete,Hotel
Emirates Tower One,Dubai,2000,355,1163,54,Composite,Office
The Torch,Dubai,2011,352,1155,86,All-Concrete,Residential
ADNOC Headquarters,Abu Dhabi,2015,342,1122,65,All-Concrete,Office
SLS Dubai,Dubai,2020,335,1100,75,All-Concrete,Hotel / Serviced Apartments / Residential
DAMAC Heights,Dubai,2018,335,1099,88,All-Concrete,Residential
The A-Tower,Dubai,2021,334,1096,62,All-Concrete,Residential
Uptown Tower,Dubai,2023,333,1094,77,All-Concrete,Residential / Hotel / Office
Rose Rayhaan by Rotana,Dubai,2007,333,1093,71,Concrete-Steel Composite,Hotel
The Address Residence - Fountain Views III,Dubai,2019,332,1089,77,All-Concrete,Serviced Apartments / Hotel
Al Yaqoub Tower,Dubai,2013,328,1076,69,All-Concrete,Hotel / Office
The Index,Dubai,2010,326,1070,80,All-Concrete,Residential / Office
The Landmark,Abu Dhabi,2013,324,1063,72,All-Concrete,Residential / Office
Burj Al Arab,Dubai,1999,321,1053,56,Composite,Hotel
Blue Tower,Dubai,2010,318,1042,72,All-Concrete,Residential
Ocean Heights,Dubai,2010,310,1017,83,All-Concrete,Residential
Emirates Tower Two,Dubai,2000,309,1014,56,All-Concrete,Hotel
Amna Tower,Dubai,2020,307,1007,75,All-Concrete,Residential
Noora Tower,Dubai,2019,307,1007,75,All-Concrete,Residential
Cayan Tower,Dubai,2013,306,1005,73,All-Concrete,Residential
Etihad Towers T2,Abu Dhabi,2011,305,1002,80,All-Concrete,Residential
The Address,Dubai,2008,302,991,63,All-Concrete,Residential / Hotel
One Za'abeel The Tower,Dubai,2023,301,989,68,Concrete-Steel Composite,Serviced Apartments / Hotel / Office
The Address Beach Resort,Dubai,2020,301,988,77,All-Concrete,Hotel / Serviced Apartments
Wasl Tower,Dubai,2024,301,986,64,Concrete-Steel Composite,Residential / Hotel / Office
Emirates Crown,Dubai,2008,296,971,63,All-Concrete,Residential
Millennium Hotel,Dubai,2011,294,965,66,All-Concrete,Hotel
Sky Tower,Abu Dhabi,2010,292,959,74,All-Concrete,Residential / Office
Sulafa Tower,Dubai,2010,288,945,76,All-Concrete,Residential
Millennium Tower,Dubai,2006,285,935,59,All-Concrete,Residential
City of Lights C1 Tower,Abu Dhabi,2015,282,926,62,All-Concrete,Office
Al Hekma Tower,Dubai,2016,282,925,64,Steel Over Concrete,Office
Forte Tower 1,Dubai,2023,281,923,74,All-Concrete,Residential
Marina Pinnacle,Dubai,2011,280,919,73,All-Concrete,Residential
The Address Residence - Fountain Views I,Dubai,2018,280,918,71,All-Concrete,Serviced Apartments
The Address Residence - Fountain Views II,Dubai,2018,280,918,71,All-Concrete,Serviced Apartments
Boulevard Point,Dubai,2020,280,918,69,All-Concrete,Residential
ICD Brookfield Place,Dubai,2020,279,916,54,Concrete-Steel Composite,Office
Etihad Towers T1,Abu Dhabi,2011,278,911,69,All-Concrete,Hotel / Residential
D1 Tower,Dubai,2015,278,911,78,All-Concrete,Residential
FIVE Jumeirah Village Dubai,Dubai,2019,277,909,61,All-Concrete,Residential / Hotel
World Trade Center Abu Dhabi - The Offices,Abu Dhabi,2014,277,907,60,All-Concrete,Office
Radisson Royal Hotel Dubai,Dubai,2010,269,883,60,All-Concrete,Hotel
21st Century Tower,Dubai,2003,269,883,55,Steel Over Concrete,Residential
DAMAC Paramount Hotel & Residences,Dubai,2018,268,879,69,All-Concrete,Residential / Hotel
"DAMAC Towers by Paramount, Tower 1",Dubai,2018,268,879,69,All-Concrete,Residential
"DAMAC Towers By Paramount, Tower 2",Dubai,2018,268,879,69,All-Concrete,Residential
