Name,City,Country,Completion Year,Height (m),Height (ft),Floors,Material,Function
Woolworth Building,New York City,United States,1913,241.0,792.0,58.0,All-Steel,Office
Metropolitan Life Tower,New York City,United States,1909,213.0,700.0,50.0,All-Steel,Office
Singer Building,New York City,United States,1908,187.0,612.0,41.0,All-Steel,Office
Municipal Building,New York City,United States,1914,177.0,580.0,34.0,All-Steel,Office
Equitable Building,New York City,United States,1915,169.0,555.0,38.0,All-Steel,
Philadelphia City Hall,Philadelphia,United States,1901,167.0,548.0,7.0,All-Masonry,Government
Mole Antonelliana,Turin,Italy,1889,166.0,543.0,5.0,,Religious / Museum
14 Wall,New York City,United States,1912,165.0,540.0,29.0,All-Steel,Office
Ulmer Münster,Ulm,Germany,1890,162.0,530.0,,All-Masonry,Religious
Travelers Tower,Hartford,United States,1919,161.0,527.0,24.0,All-Steel,Office
Hohe Domkirche St. Peter und Maria,Cologne,Germany,1880,157.0,516.0,,All-Masonry,Religious
Marriott's Custom House,Boston,United States,1915,151.0,496.0,32.0,All-Steel,Office
Cathedrale Notre-Dame de Rouen,Rouen,France,1876,151.0,495.0,,All-Masonry,Religious
4th & Vine Tower,Cincinnati,United States,1913,151.0,495.0,31.0,All-Steel,Office
City Investing Building,New York City,United States,1908,148.0,487.0,33.0,All-Steel,Office
Ruine St. Nikolai,Hamburg,Germany,1874,148.0,485.0,,All-Masonry,Religious
Notre-Dame de Strasbourg,Strasbourg,France,1439,144.0,472.0,,All-Masonry,Religious
Smith Tower,Seattle,United States,1914,141.0,462.0,38.0,All-Steel,Office
Stephansdom,Vienna,Austria,1137,137.0,449.0,,All-Masonry,Religious
Adams Express Building,New York City,United States,1916,137.0,448.0,33.0,All-Steel,Office
Petrikirche,Hamburg,Germany,1878,133.0,436.0,,All-Masonry,Religious
St. Peter's Basilica,Vatican City,Vatican City,1626,133.0,435.0,,All-Masonry,Religious
Michaeliskirche,Hamburg,Germany,1762,132.0,433.0,,All-Masonry,Religious
Bush Tower,New York City,United States,1917,132.0,432.0,30.0,All-Steel,Office
Stiftsbasilika Sankt Martin,Landshut,Germany,1500,131.0,430.0,,All-Masonry,Religious
Whitehall Building Annex,New York City,United States,1910,129.0,424.0,31.0,All-Steel,Office
Greater Hudson Store,Detroit,United States,1911,125.0,410.0,29.0,All-Steel,Office / Retail
St. Olav Church,Tallinn,Estonia,1450,124.0,406.0,,All-Masonry,Religious
St. Peter's Church,Riga,Latvia,1746,123.0,404.0,,All-Masonry,Religious
Onze-Lieve-Vrouwe-Kathedraal,Antwerp,Belgium,1521,123.0,404.0,,All-Masonry,Religious
Salisbury Cathedral,Salisbury,United Kingdom,1315,123.0,404.0,,All-Masonry,Religious
Peter and Paul Cathedral,St. Petersburg,Russia,1733,123.0,402.0,9.0,All-Masonry,Religious
Allied Chemical Building,New York City,United States,1904,120.0,395.0,25.0,All-Steel,Office
15 Park Row,New York City,United States,1899,119.0,391.0,30.0,All-Steel,Office
First National Bank Building,Pittsburgh,United States,1912,118.0,387.0,26.0,All-Steel,Office
Liberty Tower,New York City,United States,1910,117.0,385.0,33.0,All-Steel,Office
Hanover National Bank Building,New York City,United States,1903,117.0,385.0,22.0,All-Steel,Office
Knickerbocker Trust Building,New York City,United States,1909,116.0,381.0,27.0,All-Steel,Office
Berlin Cathedral,Berlin,Germany,1905,115.0,377.0,,All-Masonry,Religious
Katharinenkirche,Hamburg,Germany,1659,115.0,377.0,,All-Masonry,Religious
Neues Rathaus Leipzig,Leipzig,Germany,1905,115.0,376.0,,All-Steel,Government
Santa Maria del Fiore,Florence,Italy,1436,115.0,376.0,,All-Masonry,Religious
Domtoren,Utrecht,Netherlands,1382,112.0,369.0,,All-Masonry,Religious
St. Paul's Cathedral,London,United Kingdom,1710,111.0,365.0,,All-Masonry,Religious
Illinois State Capitol,Springfield (IL),United States,1888,110.0,361.0,5.0,,Government
Hamburg Rathaus,Hamburg,Germany,1897,110.0,360.0,,,Government
