Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Empire State Building,New York City,1931,381.0,1250.0,102,All-Steel,Office
875 North Michigan Avenue,Chicago,1969,344.0,1128.0,100,All-Steel,Residential / Office
Chrysler Building,New York City,1930,319.0,1046.0,77,All-Steel,Office
70 Pine,New York City,1932,290.0,952.0,67,All-Steel,Office
The Trump Building,New York City,1930,283.0,927.0,71,All-Steel,Office
Chase Tower,Chicago,1969,265.0,868.0,61,All-Steel,Office
Comcast Building,New York City,1933,259.0,850.0,70,All-Steel,Office
U.S. Steel Tower,Pittsburgh,1970,256.0,841.0,64,All-Steel,Office
28 Liberty,New York City,1961,248.0,813.0,60,All-Steel,Office
MetLife Building,New York City,1963,246.0,808.0,59,All-Steel,Office
Woolworth Building,New York City,1913,241.0,792.0,58,All-Steel,Office
MV Lomonosov State University,Moscow,1953,239.0,784.0,39,All-Steel,Education
555 California Street,San Francisco,1969,237.0,779.0,52,All-Steel,Office
Palace of Culture and Science,Warsaw,1955,231.0,757.0,42,All-Steel,Office
Prudential Tower,Boston,1964,229.0,750.0,52,All-Steel,Office
Twenty Exchange,New York City,1931,226.0,741.0,57,All-Steel,Office
TD Tower,Toronto,1967,223.0,731.0,56,All-Steel,
One Shell Plaza,Houston,1970,218.0,714.0,50,All-Concrete,Office
Terminal Tower,Cleveland,1928,216.0,708.0,52,All-Steel,Office
JPMorgan Chase Tower,New York City,1960,216.0,707.0,52,All-Steel,
General Motors Building,New York City,1968,215.0,705.0,50,All-Steel,Office
Metropolitan Life Tower,New York City,1909,213.0,700.0,50,All-Steel,Office
500 Fifth Avenue,New York City,1931,212.0,697.0,59,All-Steel,Office
140 Broadway,New York City,1967,210.0,688.0,52,All-Steel,Office
277 Park Avenue,New York City,1963,209.0,687.0,50,All-Steel,Office
Radisson Royal Hotel,Moscow,1955,206.0,676.0,34,All-Steel,Hotel
One Grand Central Place,New York City,1930,205.0,673.0,53,All-Steel,Office
Paramount Plaza,New York City,1970,204.0,670.0,48,All-Steel,Office
One Wall Street,New York City,1931,199.0,654.0,50,All-Steel,Office
Chanin Building,New York City,1929,198.0,649.0,56,All-Steel,Office
245 Park Avenue,New York City,1967,198.0,648.0,47,All-Steel,Office
Richard J. Daley Center,Chicago,1965,198.0,648.0,31,All-Steel,Office
Lake Point Tower,Chicago,1968,196.0,645.0,70,All-Concrete,Residential
570 Lexington Avenue,New York City,1931,196.0,643.0,50,All-Steel,Office
1 New York Plaza,New York City,1969,195.0,640.0,50,All-Steel,Office
345 Park Avenue,New York City,1969,193.0,634.0,44,All-Steel,Office
Mercantile Building,New York City,1929,193.0,632.0,48,All-Steel,Office
Safeco Plaza,Seattle,1969,192.0,630.0,50,All-Steel,Office
Home Insurance Plaza,New York City,1966,192.0,630.0,44,All-Steel,Office
The National,Dallas,1965,191.0,628.0,52,All-Steel,Office
1345 Avenue of the Americas,New York City,1969,191.0,625.0,50,All-Steel,Office
Waldorf Astoria New York,New York City,1931,191.0,625.0,47,All-Steel,Hotel
Tour de la Bourse,Montreal,1964,190.0,623.0,47,All-Concrete,Office
611 West 6th Street,Los Angeles,1969,189.0,620.0,42,All-Steel,Office
Place Ville Marie,Montreal,1962,188.0,617.0,43,All-Steel,Office
919 3rd Avenue,New York City,1970,188.0,615.0,47,N/A,Office
New York Life Building,New York City,1928,188.0,615.0,33,All-Steel,Office
Credit Lyonnais Building,New York City,1964,186.0,609.0,46,All-Steel,Office
800 Bell Street,Houston,1963,185.0,606.0,44,All-Steel,Office
Chicago Board of Trade,Chicago,1930,184.0,605.0,44,All-Steel,Office
La Tour CIBC,Montreal,1962,184.0,604.0,45,All-Steel,Office
Gables Republic Tower,Dallas,1954,184.0,602.0,36,All-Steel,Office
BNY Mellon Center at One Boston Place,Boston,1970,183.0,601.0,41,All-Steel,Office
One Prudential Plaza,Chicago,1955,183.0,601.0,41,All-Steel,Office
TD North Tower,Toronto,1969,183.0,600.0,46,All-Steel,Office
Republic Center Tower II,Dallas,1964,182.0,598.0,50,All-Steel,Office
1000 Lake Shore Plaza,Chicago,1964,180.0,590.0,55,All-Concrete,Residential
Thurgood Marshall U.S. Court House,New York City,1936,180.0,590.0,37,All-Steel,
Marina City I,Chicago,1964,179.0,588.0,61,All-Concrete,Residential
Marina City II,Chicago,1964,179.0,588.0,61,All-Concrete,Residential
Time-Life Building,New York City,1959,179.0,587.0,48,All-Steel,Office
Jacob K. Javits Federal Building,New York City,1967,179.0,587.0,41,All-Steel,Office
Trump International Hotel & Tower,New York City,1970,178.0,583.0,44,All-Steel,Residential / Hotel
Gulf Tower,Pittsburgh,1932,177.0,582.0,44,All-Steel,Residential / Hotel
BT Tower,London,1965,177.0,582.0,37,All-Concrete,Telecommunications / Office / Museum
Municipal Building,New York City,1914,177.0,580.0,34,All-Steel,Office
Kotelnicheskaya Naberezhnaya,Moscow,1952,176.0,577.0,32,All-Steel,Residential
Carew Tower,Cincinnati,1931,175.0,574.0,49,All-Steel,Office
299 Park Avenue,New York City,1967,175.0,574.0,42,All-Steel,Office
Socony Mobil Building,New York City,1956,174.0,572.0,42,All-Steel,Office
1290 Avenue of the Americas,New York City,1963,174.0,571.0,43,All-Steel,Office
One Embarcadero Center,San Francisco,1970,173.0,569.0,45,All-Steel,Office
Penobscot Building,Detroit,1928,173.0,568.0,47,All-Steel,Office
Chicago Temple Building,Chicago,1924,173.0,568.0,23,All-Steel,Office / Religious
44 Montgomery,San Francisco,1967,172.0,565.0,43,All-Steel,Office
Palmolive Building,Chicago,1929,172.0,565.0,37,All-Steel,Office
230 Park Avenue,New York City,1928,172.0,565.0,35,All-Steel,Office
Ministry of Foreign Affairs,Moscow,1953,172.0,564.0,27,All-Steel,Office
30 Broad Street,New York City,1932,171.0,561.0,48,All-Steel,Office
Nelson Tower,New York City,1931,171.0,560.0,46,All-Steel,Office
Hotel Sherry-Netherland,New York City,1927,171.0,560.0,40,All-Steel,Hotel
Palácio W. Zarzur,São Paulo,1967,170.0,558.0,51,All-Concrete,Retail / Office
Australia Square Tower,Sydney,1967,170.0,558.0,46,All-Concrete,Office
Palácio Duque de Caxias,Rio de Janeiro,1941,,,21,N/A,Government
Continental Can Building,New York City,1962,170.0,557.0,39,All-Steel,Office
Pittsfield Building,Chicago,1927,170.0,557.0,38,All-Steel,Office
State of Georgia Building,Atlanta,1967,169.0,556.0,44,All-Steel,Office
Leveque Tower,Columbus,1927,169.0,555.0,47,All-Steel,Office
Civic Opera Building,Chicago,1929,169.0,555.0,45,All-Steel,Office / Other
330 Madison Avenue,New York City,1964,169.0,555.0,41,All-Steel,Office
Equitable Building,New York City,1915,169.0,555.0,38,All-Steel,
1133 Avenue of the Americas,New York City,1970,168.0,552.0,45,All-Steel,Office
Unysys Building,New York City,1963,168.0,551.0,44,All-Steel,Office
Downtown by Philippe Starck,New York City,1927,168.0,551.0,42,All-Steel,Office
Sheraton Dallas Hotel Central Tower,Dallas,1959,168.0,550.0,42,All-Steel,Office
Philadelphia City Hall,Philadelphia,1901,167.0,548.0,7,All-Masonry,Government
Transportation Building,New York City,1928,166.0,545.0,44,All-Steel,Office
Torre Latinoamerica,Mexico City,1956,166.0,545.0,44,All-Steel,Office
Mole Antonelliana,Turin,1889,166.0,543.0,5,N/A,Religious / Museum
The Downtown Club,New York City,1930,165.0,542.0,39,All-Steel,Hotel
