Name,City,Completion Year,Height (m),Height (ft),Floors,Material,Function
Burj Mubarak Al Kabir,Kuwait City,N/A,1001,3284,234,Composite,Residential / Hotel / Office
Uptown Dubai Tower 1,Dubai,N/A,711,2333,N/A,All-Concrete,Office
Lakhta Center II,St. Petersburg,2030,703,2306,150,Steel Over Concrete,Office
Shenzhen Tower,Shenzhen,N/A,642,2106,128,N/A,Residential / Hotel / Office
Signature Tower Jakarta,Jakarta,N/A,638,2093,113,Composite,Hotel / Office
Tradewinds Square Tower A,Kuala Lumpur,N/A,608,1995,110,N/A,Office
Nexus Tower,Shenzhen,N/A,595,1952,124,N/A,Hotel / Office / Retail
Legends Tower,Oklahoma City,2030,581,1907,136,N/A,Hotel / Residential
Hyundai Global Business Center,Seoul,N/A,569,1867,105,N/A,Hotel / Office
Thai Boon Roong Twin Tower World Trade Center 1,Phnom Penh,N/A,562,1843,133,N/A,Serviced Apartments / Hotel / Office
Thai Boon Roong Twin Tower World Trade Center 2,Phnom Penh,N/A,562,1843,133,N/A,Serviced Apartments / Hotel / Office
Lakhta Center III,St. Petersburg,N/A,555,1821,108,Steel/concrete,Office
Burj Jumeira,Dubai,N/A,550,1804,N/A,N/A,Residential / Hotel
Senna Tower,Balneário Camboriú,N/A,544,1785,135,Steel Over Concrete,Residential
Jinan IFC Landmark Tower,Jinan,N/A,518,1699,135,N/A,Hotel / Residential / Office
Affirmation Tower,New York City,N/A,507,1663,95,N/A,Office / Hotel
Caiwuwei Center,Shenzhen,N/A,500,1640,110,N/A,Office
Corinthia Dubai,Dubai,2030,500,1640,102,All-Concrete,Hotel
Fuyuan Zhongshan 108 IFC,Zhongshan,2029,498,1634,108,N/A,Hotel / SOHO / Office
The Jumeirah Business Bay,Dubai,N/A,485,1591,100,N/A,Residential / Serviced Apartments / Hotel
MGN Tower,Phnom Penh,N/A,485,1591,85,Concrete-Steel Composite,Hotel / Office
350 Park Avenue,New York City,2032,483,1586,62,N/A,Office
175 Park Avenue,New York City,2030,482,1580,83,Composite,Hotel / Office
Kunshan Centre,Suzhou,N/A,480,1575,N/A,N/A,Hotel / SOHO / Office
Wuhan Pan Hai Times Center Landmark Tower,Wuhan,N/A,477,1565,97,N/A,Office
Tower Fifth,New York City,N/A,474,1556,96,N/A,Office
SRG Tower,Dubai,N/A,473,1552,111,All-Concrete,Residential
SUNAC A-ONE Tower 1,Chongqing,2030,470,1542,101,Concrete-Steel Composite,Hotel / Office
Legacy Tower,Dhaka,N/A,465,1526,96,N/A,Office
FORZA Tower,Bogota,N/A,460,1509,116,N/A,Hotel / Office
China Overseas Suzhou Supertall Project,Suzhou,2027,460,1509,100,N/A,Residential / Office
Agile Shenzhong One,Zhongshan,N/A,460,1509,N/A,N/A,Office
Guizhou Culture Plaza Tower,Guiyang,2027,450,1476,97,Composite,Hotel / Office
Ramat-Gan Tower 1,Ramat Gan,N/A,440,1444,111,N/A,Office
Wuhan World Trade Center,Wuhan,N/A,438,1437,86,N/A,Office
Songdo I-Core City,Incheon,2030,420,1378,103,N/A,Residential / Hotel / Office
Core Tower 2,Ramat Gan,N/A,404,1325,101,N/A,Residential / Office
