Name,City,Country,Completion Year,Height (m),Height (ft),Floors,Material,Function
Burj Mubarak Al Kabir,Kuwait City,Kuwait,,1001,3284,234.0,Composite,Residential / Hotel / Office
Uptown Dubai Tower 1,Dubai,United Arab Emirates,,711,2333,,All-Concrete,Office
Lakhta Center II,St. Petersburg,Russia,2030.0,703,2306,150.0,Steel Over Concrete,Office
Shenzhen Tower,Shenzhen,China,,642,2106,128.0,,Residential / Hotel / Office
Signature Tower Jakarta,Jakarta,Indonesia,,638,2093,113.0,Composite,Hotel / Office
Tradewinds Square Tower A,Kuala Lumpur,Malaysia,,608,1995,110.0,,Office
Nexus Tower,Shenzhen,China,,595,1952,124.0,,Hotel / Office / Retail
Legends Tower,Oklahoma City,United States,2030.0,581,1907,136.0,,Hotel / Residential
Hyundai Global Business Center,Seoul,South Korea,,569,1867,105.0,,Hotel / Office
Thai Boon Roong Twin Tower World Trade Center 1,Phnom Penh,Cambodia,,562,1843,133.0,,Serviced Apartments / Hotel / Office
Thai Boon Roong Twin Tower World Trade Center 2,Phnom Penh,Cambodia,,562,1843,133.0,,Serviced Apartments / Hotel / Office
Lakhta Center III,St. Petersburg,Russia,,555,1821,108.0,Steel/concrete,Office
Burj Jumeira,Dubai,United Arab Emirates,,550,1804,,,Residential / Hotel
Senna Tower,Balneário Camboriú,Brazil,,544,1785,135.0,Steel Over Concrete,Residential
Jinan IFC Landmark Tower,Jinan,China,,518,1699,135.0,,Hotel / Residential / Office
Affirmation Tower,New York City,United States,,507,1663,95.0,,Office / Hotel
Caiwuwei Center,Shenzhen,China,,500,1640,110.0,,Office
Corinthia Dubai,Dubai,United Arab Emirates,2030.0,500,1640,102.0,All-Concrete,Hotel
Fuyuan Zhongshan 108 IFC,Zhongshan,China,2029.0,498,1634,108.0,,Hotel / SOHO / Office
The Jumeirah Business Bay,Dubai,United Arab Emirates,,485,1591,100.0,,Residential / Serviced Apartments / Hotel
MGN Tower,Phnom Penh,Cambodia,,485,1591,85.0,Concrete-Steel Composite,Hotel / Office
