Name,City,Country,Completion Year,Height (m),Height (ft),Floors,Material,Function
Jeddah Tower,Jeddah,Saudi Arabia,2030.0,1000,3281,167.0,All-Concrete,Residential / Serviced Apartments
Burj Azizi,Dubai,United Arab Emirates,2030.0,725,2379,133.0,,Serviced Apartments / Hotel / Residential
Burj Binghatti Jacob & Co Residences,Dubai,United Arab Emirates,2027.0,595,1952,105.0,,Residential
Tiger Sky Tower,Dubai,United Arab Emirates,2029.0,532,1745,116.0,,Residential
Six Senses Residences,Dubai,United Arab Emirates,2028.0,517,1696,125.0,All-Concrete,Residential
Greenland Jinmao International Financial Center,Nanjing,China,2028.0,500,1640,102.0,,Hotel / Office
HeXi Yuzui Tower A,Nanjing,China,2028.0,499,1636,85.0,,Office
Tianfu Center,Chengdu,China,2027.0,489,1604,95.0,,Office / Exhibition
Rizhao Center,Rizhao,China,2028.0,485,1591,94.0,All-Concrete,Residential / Hotel / Office
North Bund Tower,Shanghai,China,2030.0,480,1575,97.0,,Observation / Serviced Apartments / Hotel / Office
Torre Rise,Monterrey,Mexico,2026.0,475,1559,88.0,All-Concrete,Office / Residential / Office / Hotel
Wuhan CTF Finance Center,Wuhan,China,2029.0,475,1558,84.0,Composite,Office
Chengdu Greenland Tower,Chengdu,China,2029.0,468,1535,101.0,Concrete-Steel Composite,Hotel / Office
Suzhou CSC Fortune Center,Suzhou,China,2028.0,460,1509,100.0,Composite,Residential / Office
International Land-Sea Center,Chongqing,China,2025.0,458,1503,98.0,Concrete-Steel Composite,Hotel / Office
Franck Muller Aeternitas Tower,Dubai,United Arab Emirates,2027.0,450,1476,106.0,All-Concrete,Residential
China Resources Land Center Tower 1,Dongguan,China,2027.0,450,1476,94.0,,Hotel / Office
Haikou Tower 1,Haikou,China,2027.0,428,1404,94.0,Concrete-Steel Composite,Hotel / Residential / Office
Greenland Shandong International Financial Center,Jinan,China,2025.0,428,1404,88.0,Concrete-Steel Composite,Hotel / SOHO / Office
JPMorgan Chase World Headquarters,New York City,United States,2025.0,423,1388,60.0,Concrete-Steel Composite,Office
Tour F,Abidjan,Ivory Coast,2026.0,421,1381,75.0,All-Concrete,Office
Tsingshan Holdings Group Global Headquarters Tower 1,Wenzhou,China,,418,1371,,,Office
Nanjing Financial City Phase II Plot C Tower 1,Nanjing,China,2026.0,417,1367,88.0,Concrete-Steel Composite,Hotel / Office
Shenzhen Cloud of Innovation Center,Shenzhen,China,2026.0,407,1335,83.0,Composite,Hotel / Office
Great River Center,Wuhan,China,2026.0,400,1312,82.0,Concrete-Steel Composite,Office
China Merchants Group West Headquarters,Chengdu,China,2028.0,396,1299,82.0,,Office
Shenzhen Bay Super Headquarters Base Tower B,Shenzhen,China,2028.0,394,1294,81.0,Composite,Office
Shenzhen Bay Super Headquarters Base Tower C-1,Shenzhen,China,2027.0,394,1293,78.0,,Hotel / Office
China Merchants Bank Global Headquarters Main Tower,Shenzhen,China,2025.0,393,1289,77.0,Composite,Office
Lucheng Square,Wenzhou,China,2026.0,389,1276,79.0,Composite,Hotel / Residential / Office
TOKYO TORCH Torch Tower,Tokyo,Japan,2027.0,385,1263,62.0,Composite,Residential / Hotel / Office
Guangdong Business Center,Guangzhou,China,2025.0,376,1232,60.0,All-Steel,Office
China Merchants Prince Bay Tower,Shenzhen,China,2028.0,374,1227,59.0,All-Concrete,Hotel / Office
Shanghai International Trade Center Tower 2,Shanghai,China,2025.0,370,1214,70.0,Concrete-Steel Composite,Office
Shenyang International Center Tower 1,Shenyang,China,2027.0,366,1201,75.0,Concrete-Steel Composite,Office
Taipei Twins D1,Taipei,Taiwan,2027.0,360,1181,70.0,All-Steel,Office
Bay Area Smart Plaza Tower A,Shenzhen,China,2025.0,358,1175,65.0,Composite,Office
City Tower 1,Dubai,United Arab Emirates,2025.0,358,1175,94.0,,Office / Residential
Greenland Group Suzhou Center,Suzhou,China,2025.0,358,1175,77.0,Concrete-Steel Composite,Hotel / Office
Naga 3 Tower A,Phnom Penh,Cambodia,2026.0,358,1175,75.0,,Hotel / Casino
Guohong Center,Wenzhou,China,2028.0,356,1168,71.0,Composite,Hotel / Office
Shenzhen Bay Super Headquarters Base Tower C-2,Shenzhen,China,2027.0,356,1167,68.0,,Office
SkyTower at Pinnacle One Yonge,Toronto,Canada,2026.0,351,1153,106.0,All-Concrete,Residential / Hotel
Poly Liangxi Plaza,Foshan,China,2026.0,350,1148,,,Office
Xiamen Cross Strait Financial Centre,Xiamen,China,2025.0,344,1128,68.0,Composite,Office
Zhonghai City Plaza,Tianjin,China,2026.0,340,1115,75.0,,Office
Oxley Tower 1,Kuala Lumpur,Malaysia,2025.0,339,1111,84.0,All-Concrete,Serviced Apartments / Hotel
Guangjian Financial Center,Guangzhou,China,2027.0,333,1093,,,Office
Green Energy Superblock Oasis Central Sudirman Tower 2,Jakarta,Indonesia,2028.0,331,1086,75.0,,Serviced Apartments / Hotel / Office
Regalia,Dubai,United Arab Emirates,2025.0,331,1086,70.0,All-Concrete,Residential
Golden Corridor 22-1 Project Tower 1,Shenyang,China,2025.0,330,1083,71.0,Composite,Office
Yuexiu Global Financial Center,Wuhan,China,2025.0,330,1083,68.0,Concrete-Steel Composite,Office
Jiulong Lake Knowledge Tower,Guangzhou,China,2025.0,330,1083,53.0,,Hotel / Office
Shenyang International Center Tower 2,Shenyang,China,2027.0,328,1076,80.0,Concrete-Steel Composite,Hotel / Office
Adventz Tower,Dubai,United Arab Emirates,2025.0,328,1076,68.0,,Residential
Ethiopian Electric Power Headquarters,Addis Ababa,Ethiopia,2027.0,328,1074,62.0,,Office
Qingdao Landmark Tower,Qingdao,China,2025.0,327,1074,74.0,Concrete-Steel Composite,Hotel / Office
CITIC Pacific Plaza,Jinan,China,2025.0,326,1070,64.0,Concrete-Steel Composite,Office
Azrieli Spiral Tower,Tel Aviv,Israel,2025.0,323,1060,91.0,,Office
Palais Royale,Mumbai,India,2025.0,320,1050,88.0,All-Concrete,Residential
Junchao Plaza,Guangzhou,China,2025.0,320,1050,67.0,Concrete-Steel Composite,Office / Retail / Office
Jiangbei New Financial Center Phase I,Nanjing,China,2027.0,320,1050,63.0,,Office
Hangzhou West Railway Station Hub Tower A,Hangzhou,China,,320,1050,61.0,,Hotel / Office
Guangzhou International Cultural Center,Guangzhou,China,2025.0,320,1050,56.0,Composite,Office
Suhewan Huaxing New City Tower 1,Shanghai,China,2028.0,320,1050,,,Hotel / Office
China Resources Metropolitan City Center Landmark Tower,Wenzhou,China,2025.0,318,1044,60.0,All-Concrete,Hotel / Office
South Taihu CBD Tower,Huzhou,China,2025.0,318,1043,66.0,Composite,Office
Waldorf Astoria Hotel and Residences Miami,Miami,United States,2028.0,317,1041,98.0,All-Concrete,Residential / Hotel
Hong Plaza Main Tower,Jinan,China,2025.0,317,1040,62.0,Composite,Office
TEDA IFC 1,Tianjin,China,2025.0,313,1027,56.0,Concrete-Steel Composite,Office
Mong Kok East Station Redevelopment,Hong Kong,China,2030.0,312,1024,62.0,,Office
CITIC Financial Center Tower 1,Shenzhen,China,2026.0,312,1024,,,Residential / Office
Waterline,Austin,United States,2026.0,311,1021,74.0,All-Concrete,Residential / Hotel / Office
Sumou Tower 1,Jeddah,Saudi Arabia,2025.0,310,1017,71.0,All-Concrete,Residential / Hotel
Hengyu Jinrong Center Block A,Shenzhen,China,2025.0,310,1017,66.0,Concrete-Steel Composite,Office
The One,Toronto,Canada,2028.0,309,1012,85.0,Concrete-Steel Composite,Residential / Hotel
Beyond Office Tower,Givatayim,Israel,2025.0,308,1011,72.0,,Office
Nanshan Science and Technology Union Building,Shenzhen,China,2026.0,307,1008,67.0,,Office
Cypress Palms Tower 1,Gold Coast,Australia,2027.0,305,1001,90.0,,Residential
520 Fifth Avenue,New York City,United States,2026.0,305,1000,76.0,All-Concrete,Residential / Office
Wynn Al Marjan Island Resort,Ras al Khaimah,United Arab Emirates,2027.0,305,1000,,,Hotel / Casino
Suzhou ICC,Suzhou,China,2025.0,303,995,68.0,Concrete-Steel Composite,Residential / Office
Shimao Pingshan Center,Shenzhen,China,2026.0,302,991,62.0,,Office
Concord Sky,Toronto,Canada,2027.0,300,985,85.0,,Residential
Hangzhou West Railway Station Hub Tower B,Hangzhou,China,,300,984,68.0,,Hotel / Residential / Office
